English,IPA
variation,/vɛrieɪʃʌn/
wealth,/wɛlθ/
consistent,/kʌnsɪstʌnt/
finding,/faɪndɪŋ/
novels,/nɑvʌlz/
passes,/pæsʌz/
weapon,/wɛpʌn/
executive,/ɪɡzɛkjʌtɪv/
experiment,/ɪkspɛrʌmʌnt/
exposure,/ɪkspoʊʒɝ/
forest,/fɔrʌst/
hunting,/hʌntɪŋ/
integrated,/ɪntʌɡreɪtʌd/
vertical,/vɝtɪkʌl/
hour,/aʊɝ/
protected,/prʌtɛktʌd/
restricted,/ristrɪktʌd/
exposed,/ɪkspoʊzd/
partly,/pɑrtli/
boat,/boʊt/
fashion,/fæʃʌn/
situations,/sɪtʃueɪʃʌnz/
conference,/kɑnfɝʌns/
draw,/drɔ/
planet,/plænʌt/
links,/lɪŋks/
strike,/straɪk/
tell,/tɛl/
printing,/prɪntɪŋ/
sentence,/sɛntʌns/
depth,/dɛpθ/
criminal,/krɪmʌnʌl/
identical,/aɪdɛntɪkʌl/
returns,/rɪtɝnz/
roots,/ruts/
telephone,/tɛlʌfoʊn/
agent,/eɪdʒʌnt/
argues,/ɑrɡjuz/
communications,/kʌmjunʌkeɪʃʌnz/
engaged,/ɛnɡeɪdʒd/
females,/fimeɪlz/
convention,/kʌnvɛnʃʌn/
frequent,/frikwʌnt/
print,/prɪnt/
i.e.,N/A
uniform,/junʌfɔrm/
texts,/tɛksts/
velocity,/vʌlɑsʌti/
transportation,/trænspɝteɪʃʌn/
years,/jɪrz/
falls,/fɔlz/
seemed,/simd/
administrative,/ʌdmɪnʌstreɪtɪv/
closer,/kloʊsɝ/
anyone,/ɛniwʌn/
debt,/dɛt/
references,/rɛfɝʌnsɪz/
representing,/rɛprɪzɛntɪŋ/
agriculture,/æɡrɪkʌltʃɝ/
laid,/leɪd/
interested,/ɪntrʌstʌd/
duties,/dutiz/
bear,/bɛr/
broad,/brɔd/
didn't,/dɪdʌnt/
physics,/fɪzɪks/
finite,/faɪnaɪt/
server,/sɝvɝ/
throne,/θroʊn/
award,/ʌwɔrd/
copy,/kɑpi/
meat,/mit/
fluid,/fluʌd/
invasion,/ɪnveɪʒʌn/
affairs,/ʌfɛrz/
experiences,/ɪkspɪriʌnsɪz/
median,/midiʌn/
ceremony,/sɛrʌmoʊni/
paintings,/peɪntɪŋz/
vision,/vɪʒʌn/
credit,/krɛdʌt/
disk,/dɪsk/
killing,/kɪlɪŋ/
km,N/A
losing,/luzɪŋ/
demonstrated,/dɛmʌnstreɪtʌd/
faced,/feɪst/
apparently,/ʌpɛrʌntli/
measurement,/mɛʒɝmʌnt/
regard,/rʌɡɑrd/
wine,/waɪn/
writes,/raɪts/
stopped,/stɑpt/
quarter,/kwɔrtɝ/
tanks,/tæŋks/
spoken,/spoʊkʌn/
bar,/bɑr/
finds,/faɪndz/
funding,/fʌndɪŋ/
incident,/ɪnsʌdʌnt/
routes,/ruts/
comparison,/kʌmpɛrʌsʌn/
procedure,/prʌsidʒɝ/
begun,/bɪɡʌn/
museum,/mjuziʌm/
birds,/bɝdz/
experimental,/ɪkspɛrɪmɛntʌl/
mathematics,/mæθʌmætɪks/
raise,/reɪz/
ruled,/ruld/
biological,/baɪʌlɑdʒɪkʌl/
consisting,/kʌnsɪstɪŋ/
solutions,/sʌluʃʌnz/
theatre,/θiʌtɝ/
twelve,/twɛlv/
drawing,/drɔɪŋ/
employees,/ɛmplɔɪiz/
spectrum,/spɛktrʌm/
banks,/bæŋks/
damaged,/dæmʌdʒd/
reactions,/riækʃʌnz/
stands,/stændz/
blocks,/blɑks/
characteristic,/kɛrʌktɝɪstɪk/
firm,/fɝm/
homes,/hoʊmz/
visitors,/vɪzʌtɝz/
clock,/klɑk/
agree,/ʌɡri/
favor,/feɪvɝ/
ready,/rɛdi/
safe,/seɪf/
prove,/pruv/
accused,/ʌkjuzd/
flying,/flaɪɪŋ/
desired,/dɪzaɪɝd/
painted,/peɪntʌd/
varying,/vɛriɪŋ/
answer,/ænsɝ/
consisted,/kʌnsɪstʌd/
evil,/ivʌl/
traditionally,/trʌdɪʃʌnʌli/
brown,/braʊn/
interaction,/ɪntɝækʃʌn/
notably,/noʊtʌbli/
appeal,/ʌpil/
extension,/ɪkstɛnʃʌn/
recommended,/rɛkʌmɛndʌd/
stability,/stʌbɪlɪti/
illegal,/ɪliɡʌl/
bill,/bɪl/
forming,/fɔrmɪŋ/
industries,/ɪndʌstriz/
it's,/ɪts/
lasted,/læstʌd/
trained,/treɪnd/
assembly,/ʌsɛmbli/
candidate,/kændʌdeɪt/
herself,/hɝsɛlf/
option,/ɑpʃʌn/
association,/ʌsoʊsieɪʃʌn/
beliefs,/bɪlifs/
committee,/kʌmɪti/
essentially,/ɪsɛnʃʌli/
percentage,/pɝsɛntʌdʒ/
sons,/sʌnz/
sum,/sʌm/
happened,/hæpʌnd/
hope,/hoʊp/
indicates,/ɪndɪkeɪts/
minister,/mɪnʌstɝ/
von,/vɔn/
layers,/leɪɝz/
purchased,/pɝtʃʌst/
gender,/dʒɛndɝ/
perceived,/pɝsivd/
promoted,/prʌmoʊtʌd/
actors,/æktɝz/
aspect,/æspɛkt/
deaths,/dɛθs/
driven,/drɪvʌn/
stores,/stɔrz/
clubs,/klʌbz/
concentration,/kɑnsʌntreɪʃʌn/
worth,/wɝθ/
arrangement,/ɝeɪndʒmʌnt/
keeping,/kipɪŋ/
approaches,/ʌproʊtʃʌz/
surrounded,/sɝaʊndʌd/
chapter,/tʃæptɝ/
mouth,/maʊθ/
plate,/pleɪt/
revenue,/rɛvʌnu/
league,/liɡ/
phrase,/freɪz/
classic,/klæsɪk/
mixture,/mɪkstʃɝ/
researchers,/risɝtʃɝz/
tool,/tul/
calling,/kɔlɪŋ/
errors,/ɛrɝz/
lay,/leɪ/
reflect,/rʌflɛkt/
so-called,/soʊkɔld/
statements,/steɪtmʌnts/
hospital,/hɑspɪtʌl/
operational,/ɑpɝeɪʃʌnʌl/
passage,/pæsʌdʒ/
concrete,/kʌnkrit/
plus,/plʌs/
thin,/θɪn/
arrival,/ɝaɪvʌl/
concert,/kɑnsɝt/
conduct,/kʌndʌkt/
heads,/hɛdz/
offices,/ɔfʌsʌz/
conversion,/kʌnvɝʒʌn/
drugs,/drʌɡz/
messages,/mɛsʌdʒʌz/
treaty,/triti/
brothers,/brʌðɝz/
featuring,/fitʃɝɪŋ/
attacked,/ʌtækt/
difficulty,/dɪfʌkʌlti/
jazz,/dʒæz/
strings,/strɪŋz/
la,/lɑ/
pitch,/pɪtʃ/
rotation,/roʊteɪʃʌn/
elsewhere,/ɛlswɛr/
medicine,/mɛdʌsʌn/
miles,/maɪlz/
comic,/kɑmɪk/
fishing,/fɪʃɪŋ/
receiver,/rʌsivɝ/
column,/kɑlʌm/
covers,/kʌvɝz/
duty,/duti/
demands,/dɪmændz/
earned,/ɝnd/
axis,/æksʌs/
sleep,/slip/
web,/wɛb/
hence,/hɛns/
purchase,/pɝtʃʌs/
turns,/tɝnz/
bought,/bɑt/
criticized,/krɪtʌsaɪzd/
generate,/dʒɛnɝeɪt/
hypothesis,/haɪpɑθʌsʌs/
fired,/faɪɝd/
lose,/luz/
turning,/tɝnɪŋ/
divisions,/dɪvɪʒʌnz/
businesses,/bɪznʌsʌz/
emphasis,/ɛmfʌsʌs/
farmers,/fɑrmɝz/
label,/leɪbʌl/
themes,/θimz/
offering,/ɔfɝɪŋ/
caught,/kɑt/
poem,/poʊʌm/
switch,/swɪtʃ/
alcohol,/ælkʌhɑl/
murder,/mɝdɝ/
reflected,/rʌflɛktʌd/
youth,/juθ/
senior,/sinjɝ/
boundaries,/baʊndɝiz/
handle,/hændʌl/
historic,/hɪstɔrɪk/
indeed,/ɪndid/
lists,/lɪsts/
scheme,/skim/
superior,/supɪriɝ/
arm,/ɑrm/
connections,/kʌnɛkʃʌnz/
dominated,/dɑmʌneɪtʌd/
sun,/sʌn/
campus,/kæmpʌs/
soul,/soʊl/
detail,/dɪteɪl/
continuing,/kʌntɪnjuɪŋ/
master,/mæstɝ/
selling,/sɛlɪŋ/
infantry,/ɪnfʌntri/
missions,/mɪʃʌnz/
random,/rændʌm/
rose,/roʊz/
slave,/sleɪv/
wrong,/rɔŋ/
destruction,/dɪstrʌkʃʌn/
distinguished,/dɪstɪŋɡwɪʃt/
piano,/piænoʊ/
proposal,/prʌpoʊzʌl/
sport,/spɔrt/
partially,/pɑrʃʌli/
producer,/prʌdusɝ/
rising,/raɪzɪŋ/
suffering,/sʌfɝɪŋ/
waters,/wɔtɝz/
foundation,/faʊndeɪʃʌn/
artillery,/ɑrtɪlɝi/
doctrine,/dɑktrʌn/
magnitude,/mæɡnʌtud/
atomic,/ʌtɑmɪk/
boundary,/baʊndɝi/
speakers,/spikɝz/
accuracy,/ækjɝʌsi/
department,/dɪpɑrtmʌnt/
nd,N/A
inhabitants,/ɪnhæbʌtʌnts/
meetings,/mitɪŋz/
platform,/plætfɔrm/
railway,/reɪlweɪ/
struggle,/strʌɡʌl/
thinking,/θɪŋkɪŋ/
camp,/kæmp/
dominant,/dɑmʌnʌnt/
getting,/ɡɛtɪŋ/
ranges,/reɪndʒʌz/
supports,/sʌpɔrts/
varied,/vɛrid/
calendar,/kælʌndɝ/
educational,/ɛdʒʌkeɪʃʌnʌl/
papers,/peɪpɝz/
enjoyed,/ɛndʒɔɪd/
isolated,/aɪsʌleɪtʌd/
boats,/boʊts/
sale,/seɪl/
door,/dɔr/
passengers,/pæsʌndʒɝz/
tape,/teɪp/
diplomatic,/dɪplʌmætɪk/
employment,/ɛmplɔɪmʌnt/
optical,/ɑptɪkʌl/
branches,/bræntʃʌz/
controls,/kʌntroʊlz/
formerly,/fɔrmɝli/
milk,/mɪlk/
argue,/ɑrɡju/
colour,N/A
downtown,/daʊntaʊn/
influential,/ɪnfluɛntʃʌl/
solo,/soʊloʊ/
editor,/ɛdʌtɝ/
empty,/ɛmpti/
owners,/oʊnɝz/
rivers,/rɪvɝz/
credited,/krɛdʌtʌd/
challenge,/tʃælʌndʒ/
classification,/klæsʌfʌkeɪʃʌn/
controversy,/kɑntrʌvɝsi/
count,/kaʊnt/
worn,/wɔrn/
characterized,/kɛrʌktɝaɪzd/
phenomenon,/fʌnɑmʌnɑn/
responded,/rɪspɑndɪd/
retired,/rɪtaɪrd/
fresh,/frɛʃ/
horses,/hɔrsʌz/
notion,/noʊʃʌn/
organic,/ɔrɡænɪk/
musicians,/mjuzɪʃʌnz/
snow,/snoʊ/
involve,/ɪnvɑlv/
vacuum,/vækjum/
attracted,/ʌtræktʌd/
narrow,/nɛroʊ/
technologies,/tɛknɑlʌdʒiz/
boy,/bɔɪ/
interpreted,/ɪntɝprʌtʌd/
invited,/ɪnvaɪtʌd/
depicted,/dɪpɪktʌd/
occupied,/ɑkjʌpaɪd/
surviving,/sɝvaɪvɪŋ/
website,/wɛbsaɪt/
destroy,/dɪstrɔɪ/
hearing,/hirɪŋ/
organisms,/ɔrɡʌnɪzʌmz/
labour,/leɪbaʊr/
missile,/mɪsʌl/
targets,/tɑrɡʌts/
cited,/saɪtʌd/
empire,/ɛmpaɪɝ/
execution,/ɛksʌkjuʃʌn/
tail,/teɪl/
grounds,/ɡraʊndz/
lies,/laɪz/
index,/ɪndɛks/
marks,/mɑrks/
partner,/pɑrtnɝ/
restrictions,/ristrɪkʃʌnz/
creates,/krieɪts/
controversial,/kɑntrʌvɝʃʌl/
manager,/mænʌdʒɝ/
stress,/strɛs/
pairs,/pɛrz/
remote,/rɪmoʊt/
restored,/rɪstɔrd/
festival,/fɛstʌvʌl/
carrier,/kæriɝ/
albums,/ælbʌmz/
load,/loʊd/
specialized,/spɛʃʌlaɪzd/
diverse,/daɪvɝs/
kinds,/kaɪndz/
operator,/ɑpɝeɪtɝ/
soft,/sɑft/
invented,/ɪnvɛntʌd/
simultaneously,/saɪmʌlteɪniʌsli/
configuration,/kʌnfɪɡjɝeɪʃʌn/
temporary,/tɛmpɝɛri/
differ,/dɪfɝ/
precise,/prɪsaɪs/
reforms,/rʌfɔrmz/
bringing,/brɪŋɪŋ/
customers,/kʌstʌmɝz/
genre,/ʒɑnrʌ/
airport,/ɛrpɔrt/
aware,/ʌwɛr/
decrease,/dɪkris/
denied,/dɪnaɪd/
live,/laɪv/
codes,/koʊdz/
complexity,/kʌmplɛksʌti/
electricity,/ɪlɛktrɪsʌti/
exports,/ɛkspɔrts/
stood,/stʊd/
frequencies,/frikwʌnsiz/
quantity,/kwɑntʌti/
dating,/deɪtɪŋ/
folk,/foʊk/
participate,/pɑrtɪsʌpeɪt/
territories,/tɛrʌtɔriz/
virtually,/vɝtʃuʌli/
buried,/bɛrid/
peoples,/pipʌlz/
satellite,/sætʌlaɪt/
trip,/trɪp/
express,/ɪksprɛs/
properly,/prɑpɝli/
quantities,/kwɑntʌtiz/
speeds,/spidz/
perspective,/pɝspɛktɪv/
societies,/sʌsaɪʌtiz/
voted,/voʊtʌd/
annually,/ænjuʌli/
extend,/ɪkstɛnd/
governor,/ɡʌvɝnɝ/
magic,/mædʒɪk/
hole,/hoʊl/
lifetime,/laɪftaɪm/
regime,/rʌʒim/
requiring,/rikwaɪɝɪŋ/
wing,/wɪŋ/
equipped,/ɪkwɪpt/
evening,/ivnɪŋ/
honor,/ɑnɝ/
session,/sɛʃʌn/
steam,/stim/
surfaces,/sɝfʌsʌz/
admitted,/ʌdmɪtʌd/
maintenance,/meɪntʌnʌns/
naturally,/nætʃɝʌli/
separation,/sɛpɝeɪʃʌn/
thereby,/ðɛrbaɪ/
variables,/vɛriʌbʌlz/
adults,/ʌdʌlts/
poverty,/pɑvɝti/
retained,/rɪteɪnd/
armies,/ɑrmiz/
wire,/waɪɝ/
ed.,N/A
exclusively,/ɪksklusɪvli/
headquarters,/hɛdkwɔrtɝz/
movies,/muviz/
warfare,/wɔrfɛr/
roll,/roʊl/
aim,/eɪm/
explanation,/ɛksplʌneɪʃʌn/
legs,/lɛɡz/
starts,/stɑrts/
thermal,/θɝmʌl/
curve,/kɝv/
enemies,/ɛnʌmiz/
lake,/leɪk/
objective,/ʌbdʒɛktɪv/
volumes,/vɑljumz/
opponents,/ʌpoʊnʌnts/
rear,/rɪr/
civilian,/sʌvɪljʌn/
approval,/ʌpruvʌl/
contribution,/kɑntrʌbjuʃʌn/
fruit,/frut/
ownership,/oʊnɝʃɪp/
prisoners,/prɪzʌnɝz/
gone,/ɡɔn/
ocean,/oʊʃʌn/
protocol,/proʊtʌkɑl/
regardless,/rʌɡɑrdlʌs/
row,/roʊ/
tons,/tʌnz/
facility,/fʌsɪlɪti/
reverse,/rɪvɝs/
threatened,/θrɛtʌnd/
wooden,/wʊdʌn/
artistic,/ɑrtɪstɪk/
fellow,/fɛloʊ/
medieval,/mɪdivʌl/
meters,/mitɝz/
stream,/strim/
receives,/rʌsivz/
structural,/strʌktʃɝʌl/
victims,/vɪktʌmz/
clothing,/kloʊðɪŋ/
emerged,/ɪmɝdʒd/
falling,/fɑlɪŋ/
participants,/pɑrtɪsʌpʌnts/
supposed,/sʌpoʊzd/
fair,/fɛr/
fairly,/fɛrli/
measurements,/mɛʒɝmʌnts/
tribes,/traɪbz/
chamber,/tʃeɪmbɝ/
consequence,/kɑnsʌkwʌns/
inflation,/ɪnfleɪʃʌn/
operates,/ɑpɝeɪts/
owner,/oʊnɝ/
stronger,/strɔŋɝ/
theoretical,/θiɝɛtɪkʌl/
equally,/ikwʌli/
therapy,/θɛrʌpi/
emperor,/ɛmpɝɝ/
offensive,/ʌfɛnsɪv/
valid,/vælʌd/
voting,/voʊtɪŋ/
celebrated,/sɛlʌbreɪtʌd/
investigation,/ɪnvɛstʌɡeɪʃʌn/
origins,/ɔrʌdʒɪnz/
spot,/spɑt/
supporters,/sʌpɔrtɝz/
twenty,/twɛnti/
recognize,/rɛkʌɡnaɪz/
shorter,/ʃɔrtɝ/
tasks,/tæsks/
tissue,/tɪsju/
wearing,/wɛrɪŋ/
revolution,/rɛvʌluʃʌn/
slavery,/sleɪvɝi/
binary,/baɪnɝi/
distinguish,/dɪstɪŋɡwɪʃ/
fought,/fɔt/
gods,/ɡɑdz/
eggs,/ɛɡz/
injury,/ɪndʒɝi/
centers,/sɛntɝz/
procedures,/prʌsidʒɝz/
realized,/rilaɪzd/
exercise,/ɛksɝsaɪz/
hired,/haɪɝd/
buy,/baɪ/
disc,/dɪsk/
long-term,/lɔŋtɝm/
observation,/ɑbzɝveɪʃʌn/
estate,/ɪsteɪt/
recovery,/rɪkʌvri/
mechanisms,/mɛkʌnɪzʌmz/
province,/prɑvʌns/
brand,/brænd/
fly,/flaɪ/
manufacturers,/mænjʌfæktʃɝɝz/
trend,/trɛnd/
bonds,/bɑndz/
concerning,/kʌnsɝnɪŋ/
dated,/deɪtɪd/
functional,/fʌŋkʃʌnʌl/
observations,/ɑbzɝveɪʃʌnz/
substance,/sʌbstʌns/
independently,/ɪndɪpɛndʌntli/
logo,/loʊɡoʊ/
replacement,/rɪpleɪsmʌnt/
partial,/pɑrʃʌl/
struck,/strʌk/
driving,/draɪvɪŋ/
journey,/dʒɝni/
justice,/dʒʌstʌs/
expand,/ɪkspænd/
i.e,N/A
intense,/ɪntɛns/
publicly,/pʌblɪkli/
scheduled,/skɛdʒʊld/
seeking,/sikɪŋ/
warm,/wɔrm/
aimed,/eɪmd/
editions,/ɪdɪʃʌnz/
factory,/fæktɝi/
difficulties,/dɪfʌkʌltiz/
plastic,/plæstɪk/
ranging,/reɪndʒɪŋ/
defend,/dɪfɛnd/
processor,/prɑsɛsɝ/
radar,/reɪdɑr/
tank,/tæŋk/
binding,/baɪndɪŋ/
crystal,/krɪstʌl/
motor,/moʊtɝ/
rain,/reɪn/
spacecraft,/speɪskræft/
thick,/θɪk/
arguments,/ɑrɡjʌmʌnts/
attend,/ʌtɛnd/
hosted,/hoʊstɪd/
judge,/dʒʌdʒ/
advice,/ædvaɪs/
naval,/neɪvʌl/
everyone,/ɛvriwʌn/
operators,/ɑpɝeɪtɝz/
decay,/dʌkeɪ/
dimensions,/dɪmɛnʃʌnz/
ties,/taɪz/
expedition,/ɛkspʌdɪʃʌn/
racing,/reɪsɪŋ/
sees,/siz/
formally,/fɔrmʌli/
sequences,/sikwʌnsʌz/
strict,/strɪkt/
villages,/vɪlʌdʒʌz/
bomb,/bɑm/
contributions,/kɑntrʌbjuʃʌnz/
license,/laɪsʌns/
underlying,/ʌndɝlaɪɪŋ/
varieties,/vɝaɪʌtiz/
bacteria,/bæktɪriʌ/
emergency,/ɪmɝdʒʌnsi/
gene,/dʒin/
spending,/spɛndɪŋ/
breaking,/breɪkɪŋ/
draft,/dræft/
entering,/ɛntɝɪŋ/
equations,/ɪkweɪʒʌnz/
rely,/rɪlaɪ/
patent,/pætʌnt/
stayed,/steɪd/
colonies,/kɑlʌniz/
occasions,/ʌkeɪʒʌnz/
tested,/tɛstʌd/
tower,/taʊɝ/
covering,/kʌvɝɪŋ/
divine,/dɪvaɪn/
reviews,/rivjuz/
districts,/dɪstrɪkts/
looked,/lʊkt/
producers,/prʌdusɝz/
convinced,/kʌnvɪnst/
infinite,/ɪnfʌnʌt/
intellectual,/ɪntʌlɛktʃuʌl/
advertising,/ædvɝtaɪzɪŋ/
maintaining,/meɪnteɪnɪŋ/
maps,/mæps/
teacher,/titʃɝ/
edited,/ɛdʌtʌd/
estimate,/ɛstʌmʌt/
indigenous,/ɪndɪdʒʌnʌs/
races,/reɪsʌz/
ranked,/ræŋkt/
coverage,/kʌvɝʌdʒ/
displayed,/dɪspleɪd/
dramatic,/drʌmætɪk/
explains,/ɪkspleɪnz/
cash,/kæʃ/
concentrated,/kɑnsʌntreɪtʌd/
courses,/kɔrsʌz/
guide,/ɡaɪd/
referring,/rɪfɝɪŋ/
samples,/sæmpʌlz/
sizes,/saɪzʌz/
dog,/dɔɡ/
possession,/pʌzɛʃʌn/
consist,/kʌnsɪst/
dispute,/dɪspjut/
distances,/dɪstʌnsʌz/
improvements,/ɪmpruvmʌnts/
driver,/draɪvɝ/
gravity,/ɡrævʌti/
hosts,/hoʊsts/
ions,/aɪʌnz/
mining,/maɪnɪŋ/
relevant,/rɛlʌvʌnt/
winner,/wɪnɝ/
beam,/bim/
distinctive,/dɪstɪŋktɪv/
passenger,/pæsʌndʒɝ/
proportion,/prʌpɔrʃʌn/
regulations,/rɛɡjʌleɪʃʌnz/
survey,/sɝveɪ/
commission,/kʌmɪʃʌn/
compound,/kɑmpaʊnd/
universities,/junʌvɝsʌtiz/
finish,/fɪnɪʃ/
patient,/peɪʃʌnt/
philosophical,/fɪlʌsɑfɪkʌl/
shooting,/ʃutɪŋ/
strategic,/strʌtidʒɪk/
drum,/drʌm/
interactions,/ɪntɝækʃʌnz/
radical,/rædʌkʌl/
relief,/rɪlif/
ahead,/ʌhɛd/
biggest,/bɪɡʌst/
contribute,/kʌntrɪbjut/
graphics,/ɡræfɪks/
logical,/lɑdʒɪkʌl/
scored,/skɔrd/
poems,/poʊʌmz/
consequences,/kɑnsʌkwɛnsʌz/
salt,/sɔlt/
considerably,/kʌnsɪdɝʌbli/
bond,/bɑnd/
complicated,/kɑmplʌkeɪtʌd/
recordings,/rɪkɔrdɪŋz/
definitions,/dɛfʌnɪʃʌnz/
crowd,/kraʊd/
explicitly,/ɪksplɪsʌtli/
wounded,/wundʌd/
comedy,/kɑmʌdi/
delivery,/dɪlɪvɝi/
equilibrium,/ikwʌlɪbriʌm/
alive,/ʌlaɪv/
applies,/ʌplaɪz/
competitive,/kʌmpɛtʌtɪv/
feed,/fid/
ill,/ɪl/
marry,/mɛri/
publishing,/pʌblɪʃɪŋ/
actor,/æktɝ/
agencies,/eɪdʒʌnsiz/
artificial,/ɑrtʌfɪʃʌl/
compete,/kʌmpit/
involvement,/ɪnvɑlvmʌnt/
manufactured,/mænjʌfæktʃɝd/
metals,/mɛtʌlz/
neck,/nɛk/
algorithms,/ælɡɝɪðʌmz/
array,/ɝeɪ/
keys,/kiz/
readers,/ridɝz/
requirement,/rɪkwaɪrmʌnt/
underground,/ʌndɝɡraʊnd/
copper,/kɑpɝ/
tourism,/tʊrɪzʌm/
conclusion,/kʌnkluʒʌn/
consumer,/kʌnsumɝ/
vice,/vaɪs/
waste,/weɪst/
burned,/bɝnd/
drew,/dru/
feeling,/filɪŋ/
insurance,/ɪnʃʊrʌns/
missing,/mɪsɪŋ/
tied,/taɪd/
eat,/it/
jurisdiction,/dʒʊrʌsdɪkʃʌn/
nominated,/nɑmʌneɪtʌd/
occasion,/ʌkeɪʒʌn/
retain,/rɪteɪn/
talk,/tɔk/
voters,/voʊtɝz/
addressed,/ʌdrɛst/
beautiful,/bjutʌfʌl/
behaviour,N/A
leg,/lɛɡ/
personality,/pɝsʌnælɪti/
completion,/kʌmpliʃʌn/
defensive,/dɪfɛnsɪv/
gets,/ɡɛts/
violent,/vaɪʌlʌnt/
supplied,/sʌplaɪd/
disorder,/dɪsɔrdɝ/
intention,/ɪntɛntʃʌn/
virtual,/vɝtʃuʌl/
wider,/waɪdɝ/
capabilities,/keɪpʌbɪlʌtiz/
custom,/kʌstʌm/
describing,/dɪskraɪbɪŋ/
diseases,/dɪzizʌz/
girls,/ɡɝlz/
neutral,/nutrʌl/
illness,/ɪlnʌs/
imperial,/ɪmpɪriʌl/
phone,/foʊn/
prey,/preɪ/
prayer,/prɛr/
provinces,/prɑvʌnsʌz/
delay,/dɪleɪ/
accident,/æksʌdʌnt/
circular,/sɝkjʌlɝ/
automatically,/ɔtʌmætɪkli/
negotiations,/nʌɡoʊʃieɪʃʌnz/
reliable,/rɪlaɪʌbʌl/
abroad,/ʌbrɔd/
adjacent,/ʌdʒeɪsʌnt/
calculated,/kælkjʌleɪtʌd/
cavalry,/kævʌlri/
displays,/dɪspleɪz/
genes,/dʒinz/
lyrics,/lɪrɪks/
window,/wɪndoʊ/
database,/deɪtʌbeɪs/
flag,/flæɡ/
helps,/hɛlps/
reduces,/rʌdusʌz/
register,/rɛdʒɪstɝ/
sharp,/ʃɑrp/
stones,/stoʊnz/
dynamic,/daɪnæmɪk/
farm,/fɑrm/
missiles,/mɪsʌlz/
attempting,/ʌtɛmptɪŋ/
client,/klaɪʌnt/
influences,/ɪnfluʌnsɪz/
demanded,/dɪmændʌd/
entertainment,/ɛntɝteɪnmʌnt/
flights,/flaɪts/
hall,/hɔl/
potentially,/pʌtɛnʃʌli/
amongst,/ʌmʌŋst/
opponent,/ʌpoʊnʌnt/
trains,/treɪnz/
check,/tʃɛk/
facing,/feɪsɪŋ/
familiar,/fʌmɪljɝ/
followers,/fɑloʊɝz/
judges,/dʒʌdʒɪz/
pointed,/pɔɪntʌd/
rice,/raɪs/
chart,/tʃɑrt/
cooperation,/koʊɑpɝeɪʃʌn/
ask,/æsk/
newspapers,/nuzpeɪpɝz/
obvious,/ɑbviʌs/
transmitted,/trænsmɪtɪd/
alongside,/ʌlɔŋsaɪd/
beings,/biɪŋz/
tends,/tɛndz/
women's,/wɪmʌnz/
st,/strit/
allies,/ælaɪz/
matrix,/meɪtrɪks/
sensitive,/sɛnsʌtɪv/
stating,/steɪtɪŋ/
beat,/bit/
casualties,/kæʒʌwʌltiz/
childhood,/tʃaɪldhʊd/
composer,/kʌmpoʊzɝ/
terminal,/tɝmʌnʌl/
marketing,/mɑrkʌtɪŋ/
coastal,/koʊstʌl/
commissioned,/kʌmɪʃʌnd/
dollars,/dɑlɝz/
entrance,/ɛntrʌns/
establishment,/ɪstæblɪʃmʌnt/
penalty,/pɛnʌlti/
prevented,/prɪvɛntɪd/
shell,/ʃɛl/
compression,/kʌmprɛʃʌn/
faces,/feɪsʌz/
quoted,/kwoʊtʌd/
releases,/rɪlisɪz/
seeing,/siɪŋ/
directions,/dɝɛkʃʌnz/
retirement,/ritaɪɝmʌnt/
capita,/kæpɪtʌ/
enabled,/ɛneɪbʌld/
spoke,/spoʊk/
vowel,/vaʊʌl/
mechanics,/mʌkænɪks/
molecular,/mʌlɛkjʌlɝ/
permission,/pɝmɪʃʌn/
removal,/rɪmuvʌl/
coalition,/koʊʌlɪʃʌn/
conservative,/kʌnsɝvʌtɪv/
counties,/kaʊntiz/
devoted,/dɪvoʊtʌd/
titled,/taɪtʌld/
wish,/wɪʃ/
baseball,/beɪsbɔl/
mainstream,/meɪnstrim/
node,/noʊd/
registered,/rɛdʒɪstɝd/
engage,/ɛnɡeɪdʒ/
notation,/noʊteɪʃʌn/
singing,/sɪŋɪŋ/
atom,/ætʌm/
funeral,/fjunɝʌl/
integral,/ɪntʌɡrʌl/
marine,/mɝin/
programme,/proʊɡræm/
psychological,/saɪkʌlɑdʒɪkʌl/
rooms,/rumz/
strip,/strɪp/
transformation,/trænsfɝmeɪʃʌn/
shaped,/ʃeɪpt/
significance,/sʌɡnɪfɪkʌns/
skill,/skɪl/
tournament,/tʊrnʌmʌnt/
colonial,/kʌloʊniʌl/
constitutional,/kɑnstʌtuʃʌnʌl/
detect,/dɪtɛkt/
engineers,/ɛndʒʌnɪrz/
girl,/ɡɝl/
horizontal,/hɔrʌzɑntʌl/
millions,/mɪljʌnz/
decreased,/dɪkrist/
hoped,/hoʊpt/
loop,/lup/
participation,/pɑrtɪsʌpeɪʃʌn/
raw,/rɑ/
ruling,/rulɪŋ/
god,/ɡɑd/
modes,/moʊdz/
sky,/skaɪ/
valuable,/væljʌbʌl/
coach,/koʊtʃ/
columns,/kɑlʌmz/
drives,/draɪvz/
fusion,/fjuʒʌn/
suicide,/suʌsaɪd/
remainder,/rɪmeɪndɝ/
representative,/rɛprʌzɛntʌtɪv/
worship,/wɝʃʌp/
compatible,/kʌmpætʌbʌl/
historian,/hɪstɔriʌn/
laser,/leɪzɝ/
compact,/kɑmpækt/
